2023-04-20 | Neuro [v1]
1 | ぽっぴっぽー (PoPiPo) | LamazeP | Neuro [v1] | Duplicate
2 | Digital Girl | KIRA | Neuro [v1] | New
3 | All Star | Smash Mouth | Neuro [v1] | Duplicate
4 | 愛言葉 (Ai Kotoba) | DECO*27 | Neuro [v1] | Duplicate
5 | テオ (Teo) | Omoi | Neuro [v1] | Duplicate
6 | うっせぇわ (Usseewa) | Ado | Neuro [v1] | Duplicate
7 | Snow Halation | μ's | Neuro [v1] | Duplicate
8 | ラグトレイン (Lagtrain) | inabakumori | Neuro [v1] | Duplicate
9 | ありふれたせかいせいふく (Common World Domination) | PinocchioP | Neuro [v1] | New
10 | It's Been So Long | The Living Tombstone | Neuro [v1] | Duplicate
11 | INTERNET OVERDOSE | Aiobahn +81, KOTOKO | Neuro [v1] | Duplicate
12 | 神っぽいな (God-ish) | PinocchioP, DECO*27 | Neuro [v1] | Duplicate
13 | Ocean Man | Ween | Neuro [v1] | New
14 | ドラマツルギー (Dramaturgy) | Eve, Numa | Neuro [v1] | Duplicate
15 | Gangsta's Paradise | Coolio, L.V. | Neuro [v1] | New
16 | Human | Rag'n'Bone Man | Neuro [v1] | New
17 | Somebody That I Used To Know | Gotye, Kimbra | Neuro [v1] | Duplicate
18 | Behind Blue Eyes | Limp Bizkit | Neuro [v1] | Duplicate
19 | A Thousand Years | Christina Perri | Neuro [v1] | Duplicate
20 | ばかみたい (Baka Mitai) | Mitsuharu Fukuyama, Ryosuke Horii | Neuro [v1] | Duplicate
21 | Still Alive | Jonathan Coulton, Ellen McLain | Neuro [v1] | Duplicate
22 | Careless Whisper | George Michael | Neuro [v1] | Duplicate
23 | Rockefeller Street (Nightcore) | Getter Jaani | Neuro [v1] | New
24 | 恋愛サーキュレーション (Renai Circulation) | Kana Hanazawa | Neuro [v1] | New
25 | Fly Me To The Moon | Frank Sinatra | Neuro [v1] | Duplicate
26 | Rich Flex | Drake & 21 Savage | Neuro [v1] | New
